Customer_ID,Gender,Age,Income_Bracket,Employment_Type,Marital_Status,City,Education_Level,Preferred_Travel_Mode,Preferred_Travel_Season,Travel_Purpose,Booking_Method,Has_Traveled_Abroad,Frequent_Traveler,Has_Children,Credit_Card_Holder,Internet_Usage,Social_Media_Usage,Travel_Insurance_Awareness,Purchased_Travel_Plan
65,Male,22,3-6 LPA,Salaried,Divorced,Chennai,High School,Flight,Summer,Leisure,Online,No,No,No,No,Low,High,Not Aware,0
66,Female,28,3-6 LPA,Salaried,Single,Pune,High School,Train,Monsoon,Family Visit,Offline Agent,Yes,Yes,Yes,Yes,High,Medium,Aware,1
67,Female,31,3-6 LPA,Salaried,Married,Mumbai,Graduate,Train,Summer,Leisure,Direct Booking,No,Yes,Yes,No,Low,Medium,Not Aware,1
68,Male,56,3-6 LPA,Salaried,Married,Delhi,Graduate,Train,Summer,Family Visit,Online,Yes,No,Yes,No,High,Medium,Not Aware,0
69,Female,30,<3 LPA,Salaried,Married,Mumbai,Post-Graduate,Train,Monsoon,Family Visit,Online,No,Yes,Yes,No,Medium,Medium,Aware,1
70,Female,41,<3 LPA,Salaried,Divorced,Delhi,Post-Graduate,Bus,Summer,Leisure,Online,No,Yes,Yes,No,Medium,Medium,Aware,1
71,Female,40,6-10 LPA,Student,Married,Ahmedabad,Post-Graduate,Bus,Monsoon,Leisure,Online,Yes,Yes,Yes,No,Medium,Low,Not Aware,1
72,Female,28,6-10 LPA,Student,Single,Kolkata,Graduate,Train,Summer,Leisure,Online,No,No,No,Yes,Low,Medium,Aware,0
73,Male,56,3-6 LPA,Self-Employed,Single,Mumbai,Post-Graduate,Own Vehicle,Winter,Family Visit,Online,No,Yes,Yes,No,High,Low,Aware,1
74,Female,49,6-10 LPA,Salaried,Single,Bangalore,Graduate,Train,Monsoon,Family Visit,Offline Agent,Yes,No,No,No,High,Medium,Not Aware,0
75,Male,32,10-15 LPA,Student,Single,Bangalore,Post-Graduate,Flight,Monsoon,Leisure,Online,Yes,No,Yes,No,Medium,High,Not Aware,0
76,Female,34,3-6 LPA,Unemployed,Divorced,Pune,Graduate,Flight,Summer,Leisure,Online,No,Yes,Yes,No,Low,Low,Aware,1
77,Female,41,6-10 LPA,Salaried,Single,Pune,High School,Own Vehicle,Winter,Leisure,Offline Agent,Yes,No,Yes,Yes,Low,Low,Not Aware,0
78,Female,42,>15 LPA,Student,Married,Kolkata,Post-Graduate,Flight,Monsoon,Leisure,Online,No,No,No,No,High,Medium,Aware,1
79,Male,41,10-15 LPA,Student,Married,Kolkata,Post-Graduate,Train,Summer,Pilgrimage,Online,No,Yes,Yes,Yes,Medium,High,Aware,1
80,Female,50,3-6 LPA,Self-Employed,Married,Pune,Post-Graduate,Train,Summer,Leisure,Online,No,Yes,Yes,No,Medium,Medium,Aware,1
81,Male,59,6-10 LPA,Salaried,Married,Bangalore,High School,Own Vehicle,Monsoon,Leisure,Online,Yes,No,No,No,Medium,Medium,Not Aware,0
82,Female,40,<3 LPA,Salaried,Married,Kolkata,Post-Graduate,Own Vehicle,Summer,Family Visit,Online,No,No,No,No,Medium,Low,Not Aware,0
83,Male,44,6-10 LPA,Self-Employed,Single,Ahmedabad,Graduate,Own Vehicle,Monsoon,Business,Online,No,No,No,Yes,Medium,Medium,Aware,0
84,Female,43,>15 LPA,Salaried,Married,Delhi,Graduate,Bus,Winter,Business,Online,No,Yes,Yes,Yes,Low,Low,Not Aware,1
85,Male,27,6-10 LPA,Unemployed,Single,Pune,Graduate,Flight,Winter,Leisure,Online,No,No,No,Yes,Medium,Medium,Aware,1
86,Male,29,>15 LPA,Student,Divorced,Delhi,Post-Graduate,Flight,Winter,Family Visit,Offline Agent,No,No,Yes,Yes,High,High,Aware,1
87,Female,21,3-6 LPA,Salaried,Single,Hyderabad,Graduate,Bus,Winter,Business,Online,No,No,No,Yes,High,Medium,Not Aware,0
88,Male,46,>15 LPA,Self-Employed,Single,Ahmedabad,High School,Flight,Summer,Leisure,Online,No,No,No,Yes,High,Medium,Not Aware,1
89,Female,58,6-10 LPA,Self-Employed,Married,Hyderabad,Graduate,Own Vehicle,Summer,Leisure,Offline Agent,No,No,No,No,Medium,Medium,Aware,0
90,Female,58,<3 LPA,Salaried,Married,Mumbai,Post-Graduate,Flight,Summer,Family Visit,Online,No,Yes,Yes,Yes,Low,High,Aware,1
91,Female,42,6-10 LPA,Salaried,Married,Delhi,High School,Train,Monsoon,Leisure,Online,No,Yes,Yes,Yes,Medium,Low,Not Aware,1
92,Female,30,3-6 LPA,Unemployed,Single,Ahmedabad,Graduate,Bus,Winter,Business,Online,No,No,No,No,Low,Medium,Not Aware,0
93,Female,26,<3 LPA,Self-Employed,Single,Pune,Graduate,Bus,Monsoon,Business,Online,No,No,No,Yes,High,Medium,Aware,0
94,Female,37,10-15 LPA,Salaried,Single,Ahmedabad,Graduate,Flight,Winter,Business,Online,No,Yes,Yes,Yes,Medium,Medium,Aware,1
95,Female,58,3-6 LPA,Salaried,Married,Bangalore,High School,Bus,Monsoon,Business,Online,Yes,Yes,Yes,Yes,Low,High,Aware,1
96,Female,44,10-15 LPA,Self-Employed,Married,Bangalore,Post-Graduate,Flight,Summer,Business,Offline Agent,No,No,Yes,No,High,Low,Not Aware,0
97,Female,30,3-6 LPA,Self-Employed,Married,Ahmedabad,High School,Flight,Summer,Family Visit,Online,No,No,No,No,Medium,High,Aware,0
98,Female,28,<3 LPA,Salaried,Married,Pune,Graduate,Train,Summer,Leisure,Online,No,No,Yes,Yes,Low,Medium,Not Aware,0
99,Female,41,>15 LPA,Self-Employed,Married,Bangalore,Graduate,Train,Monsoon,Business,Online,No,Yes,No,No,High,Low,Aware,1
100,Male,26,3-6 LPA,Salaried,Divorced,Mumbai,Graduate,Flight,Summer,Business,Online,Yes,No,No,Yes,Low,Medium,Not Aware,1
101,Male,41,6-10 LPA,Salaried,Single,Delhi,Graduate,Bus,Summer,Business,Online,No,No,Yes,Yes,Medium,Medium,Aware,0
102,Female,59,6-10 LPA,Self-Employed,Married,Kolkata,Post-Graduate,Bus,Winter,Pilgrimage,Online,Yes,No,Yes,No,Low,Medium,Aware,0
103,Female,44,6-10 LPA,Salaried,Married,Mumbai,Graduate,Train,Monsoon,Business,Online,Yes,No,No,No,High,Medium,Not Aware,0
104,Female,53,>15 LPA,Student,Single,Kolkata,Graduate,Flight,Monsoon,Leisure,Online,No,No,Yes,No,Medium,Medium,Aware,1
105,Female,38,6-10 LPA,Salaried,Married,Chennai,Graduate,Flight,Summer,Family Visit,Offline Agent,No,No,No,Yes,High,High,Aware,1
106,Female,48,3-6 LPA,Self-Employed,Single,Chennai,Graduate,Train,Monsoon,Leisure,Direct Booking,No,No,No,No,Medium,High,Aware,0
107,Female,52,10-15 LPA,Salaried,Single,Hyderabad,High School,Flight,Summer,Business,Offline Agent,Yes,No,No,Yes,Medium,High,Aware,1
108,Female,32,<3 LPA,Salaried,Married,Kolkata,Post-Graduate,Train,Monsoon,Business,Direct Booking,No,No,Yes,No,High,Medium,Not Aware,0
109,Female,47,6-10 LPA,Student,Single,Delhi,Graduate,Flight,Winter,Leisure,Online,No,No,No,No,Low,Medium,Not Aware,0
110,Male,30,>15 LPA,Salaried,Single,Ahmedabad,Graduate,Bus,Monsoon,Family Visit,Online,No,No,No,No,High,High,Not Aware,0
111,Female,52,6-10 LPA,Student,Married,Kolkata,Post-Graduate,Train,Summer,Leisure,Online,No,No,Yes,Yes,Low,Medium,Not Aware,0
112,Male,46,10-15 LPA,Self-Employed,Married,Kolkata,Post-Graduate,Flight,Monsoon,Family Visit,Online,No,No,Yes,Yes,Medium,Low,Not Aware,1
113,Female,45,6-10 LPA,Self-Employed,Single,Bangalore,High School,Flight,Monsoon,Family Visit,Offline Agent,No,No,Yes,No,Low,High,Aware,0
114,Female,31,10-15 LPA,Student,Single,Delhi,Graduate,Train,Winter,Leisure,Online,No,No,Yes,No,High,Medium,Aware,1
115,Male,43,>15 LPA,Self-Employed,Married,Pune,High School,Own Vehicle,Monsoon,Leisure,Online,No,Yes,Yes,Yes,Medium,Medium,Not Aware,1
116,Female,54,3-6 LPA,Self-Employed,Married,Kolkata,Post-Graduate,Own Vehicle,Winter,Leisure,Online,No,Yes,Yes,Yes,High,High,Aware,1
117,Male,60,<3 LPA,Student,Divorced,Kolkata,Graduate,Flight,Winter,Family Visit,Online,No,Yes,Yes,Yes,Low,Medium,Not Aware,1
118,Female,43,3-6 LPA,Unemployed,Single,Kolkata,High School,Flight,Winter,Leisure,Online,No,Yes,Yes,No,Medium,Low,Not Aware,1
119,Female,49,6-10 LPA,Salaried,Single,Hyderabad,Post-Graduate,Flight,Summer,Leisure,Online,Yes,No,No,Yes,Medium,Low,Aware,1
120,Male,51,3-6 LPA,Self-Employed,Single,Pune,Graduate,Own Vehicle,Winter,Leisure,Online,No,Yes,No,Yes,High,High,Not Aware,1
121,Female,27,<3 LPA,Salaried,Married,Bangalore,High School,Train,Monsoon,Family Visit,Offline Agent,No,Yes,No,No,High,High,Aware,1
122,Male,60,3-6 LPA,Salaried,Married,Mumbai,Graduate,Own Vehicle,Monsoon,Leisure,Online,No,Yes,No,No,High,Medium,Not Aware,1
123,Female,53,>15 LPA,Salaried,Married,Bangalore,Graduate,Bus,Winter,Business,Online,No,No,Yes,No,Medium,Medium,Not Aware,0
124,Male,41,6-10 LPA,Student,Married,Kolkata,Doctorate,Own Vehicle,Winter,Leisure,Online,No,Yes,Yes,Yes,High,High,Aware,1
125,Male,22,3-6 LPA,Self-Employed,Married,Kolkata,Graduate,Own Vehicle,Winter,Leisure,Online,No,No,Yes,No,Medium,Low,Not Aware,0
126,Female,38,<3 LPA,Student,Divorced,Pune,Graduate,Flight,Summer,Leisure,Online,No,No,No,Yes,High,Low,Aware,1
127,Female,53,3-6 LPA,Salaried,Single,Chennai,Post-Graduate,Train,Winter,Business,Offline Agent,No,No,No,No,High,Low,Not Aware,0
128,Male,57,<3 LPA,Salaried,Single,Mumbai,Graduate,Train,Winter,Pilgrimage,Direct Booking,No,No,Yes,Yes,Medium,Low,Aware,0
129,Female,54,<3 LPA,Unemployed,Single,Kolkata,Graduate,Own Vehicle,Winter,Leisure,Offline Agent,Yes,No,Yes,No,Low,Medium,Aware,0
130,Female,40,>15 LPA,Salaried,Single,Pune,High School,Flight,Winter,Business,Offline Agent,No,Yes,No,Yes,Medium,Medium,Aware,1
131,Female,55,>15 LPA,Salaried,Divorced,Bangalore,Post-Graduate,Train,Winter,Leisure,Offline Agent,No,Yes,Yes,Yes,Medium,Medium,Not Aware,1
132,Male,38,<3 LPA,Salaried,Single,Pune,Post-Graduate,Flight,Monsoon,Business,Online,No,Yes,Yes,No,Low,Medium,Not Aware,1
133,Male,44,<3 LPA,Student,Married,Mumbai,Graduate,Own Vehicle,Monsoon,Business,Offline Agent,No,No,No,No,Medium,Medium,Aware,0
134,Male,28,3-6 LPA,Salaried,Single,Chennai,Graduate,Train,Monsoon,Leisure,Offline Agent,No,No,Yes,No,Medium,Medium,Aware,0
135,Male,50,3-6 LPA,Salaried,Single,Chennai,Post-Graduate,Bus,Summer,Leisure,Online,No,No,Yes,No,High,High,Aware,0
136,Male,30,3-6 LPA,Self-Employed,Single,Delhi,Graduate,Own Vehicle,Summer,Family Visit,Direct Booking,No,No,Yes,No,Medium,Low,Not Aware,0
137,Male,43,3-6 LPA,Salaried,Single,Kolkata,Graduate,Own Vehicle,Monsoon,Leisure,Direct Booking,No,No,Yes,No,Medium,Medium,Aware,0
138,Male,31,3-6 LPA,Student,Married,Pune,Graduate,Bus,Winter,Family Visit,Online,No,No,Yes,Yes,Medium,High,Not Aware,0
139,Male,22,10-15 LPA,Salaried,Divorced,Chennai,Post-Graduate,Own Vehicle,Winter,Leisure,Online,No,Yes,No,No,Medium,Low,Not Aware,1
140,Male,46,6-10 LPA,Salaried,Married,Chennai,Post-Graduate,Bus,Summer,Leisure,Online,No,No,No,Yes,Medium,Medium,Aware,0
141,Female,56,6-10 LPA,Self-Employed,Married,Chennai,Post-Graduate,Bus,Summer,Leisure,Online,No,No,No,No,Low,High,Not Aware,0
142,Male,53,3-6 LPA,Student,Single,Kolkata,Post-Graduate,Own Vehicle,Winter,Family Visit,Online,No,Yes,No,No,Medium,Low,Not Aware,1
143,Female,33,>15 LPA,Student,Married,Pune,Post-Graduate,Bus,Summer,Business,Online,No,No,No,No,Medium,High,Not Aware,0
144,Female,60,>15 LPA,Student,Single,Hyderabad,High School,Bus,Winter,Family Visit,Online,No,Yes,Yes,Yes,Medium,High,Not Aware,1
145,Female,45,<3 LPA,Salaried,Divorced,Pune,High School,Own Vehicle,Monsoon,Leisure,Online,No,Yes,Yes,No,Medium,Low,Not Aware,1
146,Male,24,3-6 LPA,Salaried,Married,Pune,Post-Graduate,Own Vehicle,Summer,Leisure,Online,No,No,No,Yes,Medium,Low,Not Aware,0
147,Male,39,6-10 LPA,Salaried,Single,Pune,High School,Bus,Monsoon,Pilgrimage,Online,No,No,Yes,Yes,Medium,Medium,Aware,0
148,Male,38,<3 LPA,Student,Married,Chennai,Post-Graduate,Flight,Summer,Pilgrimage,Online,No,No,Yes,No,Low,High,Not Aware,0
149,Male,57,3-6 LPA,Student,Divorced,Pune,Post-Graduate,Own Vehicle,Monsoon,Family Visit,Direct Booking,Yes,Yes,No,No,Medium,Medium,Aware,1
150,Female,50,6-10 LPA,Unemployed,Single,Delhi,Graduate,Own Vehicle,Monsoon,Family Visit,Online,No,No,Yes,No,Medium,High,Aware,0
151,Male,39,6-10 LPA,Salaried,Single,Mumbai,Graduate,Flight,Summer,Business,Online,No,Yes,No,No,High,High,Not Aware,1
152,Male,43,3-6 LPA,Self-Employed,Single,Hyderabad,High School,Own Vehicle,Summer,Business,Online,No,No,No,No,High,Low,Aware,0
153,Male,36,6-10 LPA,Self-Employed,Married,Mumbai,High School,Flight,Monsoon,Business,Online,No,No,Yes,No,Low,Low,Not Aware,0
154,Male,21,>15 LPA,Student,Single,Mumbai,Post-Graduate,Train,Monsoon,Pilgrimage,Direct Booking,No,No,Yes,No,Medium,Medium,Aware,1
155,Male,32,3-6 LPA,Self-Employed,Married,Ahmedabad,High School,Own Vehicle,Winter,Family Visit,Online,No,No,No,No,High,Low,Aware,0
156,Female,44,6-10 LPA,Student,Divorced,Pune,Post-Graduate,Own Vehicle,Monsoon,Business,Online,No,Yes,Yes,Yes,High,High,Aware,1
157,Male,54,<3 LPA,Salaried,Divorced,Pune,Graduate,Train,Summer,Leisure,Offline Agent,No,No,No,Yes,Medium,Medium,Aware,0
158,Female,28,<3 LPA,Salaried,Single,Delhi,Post-Graduate,Own Vehicle,Winter,Pilgrimage,Online,No,No,No,Yes,Medium,Medium,Aware,0
159,Male,38,6-10 LPA,Salaried,Married,Pune,High School,Bus,Winter,Business,Online,No,No,Yes,No,Medium,High,Not Aware,0
160,Female,25,<3 LPA,Salaried,Single,Hyderabad,Graduate,Bus,Monsoon,Pilgrimage,Online,Yes,No,No,Yes,High,High,Aware,0
161,Male,46,<3 LPA,Salaried,Married,Kolkata,Graduate,Train,Winter,Family Visit,Online,Yes,No,Yes,No,Medium,Medium,Not Aware,0
162,Male,50,<3 LPA,Salaried,Married,Bangalore,High School,Bus,Summer,Leisure,Online,No,No,No,Yes,Medium,Medium,Not Aware,0
163,Female,33,6-10 LPA,Salaried,Married,Chennai,Graduate,Train,Summer,Business,Online,Yes,No,Yes,No,High,Medium,Not Aware,0
164,Female,39,6-10 LPA,Self-Employed,Married,Mumbai,Post-Graduate,Bus,Monsoon,Family Visit,Online,No,Yes,No,No,Low,Medium,Not Aware,1
165,Female,49,3-6 LPA,Student,Married,Mumbai,High School,Own Vehicle,Winter,Leisure,Online,No,No,Yes,No,High,High,Aware,0
166,Male,23,6-10 LPA,Student,Single,Delhi,Graduate,Bus,Monsoon,Family Visit,Online,No,No,Yes,Yes,High,Low,Aware,0
167,Female,46,<3 LPA,Salaried,Married,Kolkata,Post-Graduate,Own Vehicle,Monsoon,Business,Online,No,No,Yes,No,Medium,Medium,Aware,0
168,Male,60,6-10 LPA,Salaried,Single,Delhi,Post-Graduate,Bus,Monsoon,Leisure,Online,No,Yes,Yes,No,Medium,Low,Not Aware,1
169,Male,32,3-6 LPA,Salaried,Single,Delhi,High School,Train,Winter,Leisure,Offline Agent,Yes,No,Yes,Yes,High,High,Not Aware,0
170,Female,22,6-10 LPA,Unemployed,Single,Ahmedabad,High School,Bus,Summer,Leisure,Online,No,No,Yes,Yes,High,Medium,Not Aware,0
171,Female,31,>15 LPA,Self-Employed,Divorced,Hyderabad,High School,Own Vehicle,Summer,Leisure,Online,Yes,No,Yes,Yes,High,High,Not Aware,0
172,Male,48,>15 LPA,Salaried,Married,Pune,Graduate,Train,Winter,Family Visit,Online,No,Yes,Yes,Yes,Medium,Medium,Aware,1
173,Male,38,<3 LPA,Student,Married,Ahmedabad,High School,Bus,Monsoon,Family Visit,Direct Booking,No,No,No,Yes,Low,Low,Aware,0
174,Female,33,10-15 LPA,Salaried,Married,Kolkata,Graduate,Flight,Summer,Leisure,Online,No,No,Yes,No,Medium,Low,Aware,1
175,Female,57,<3 LPA,Student,Married,Pune,Graduate,Flight,Monsoon,Leisure,Online,No,No,Yes,Yes,Low,Low,Aware,1
176,Female,42,>15 LPA,Salaried,Married,Pune,Graduate,Train,Summer,Leisure,Online,No,No,No,Yes,Medium,Medium,Not Aware,0
177,Male,32,3-6 LPA,Salaried,Single,Chennai,High School,Flight,Monsoon,Pilgrimage,Offline Agent,No,No,Yes,Yes,Medium,High,Aware,1
178,Male,22,3-6 LPA,Self-Employed,Married,Hyderabad,Graduate,Flight,Monsoon,Business,Online,No,No,No,Yes,Medium,High,Not Aware,1
